Paylaþým,Tip
"Bugün hava çok güzel, dýþarý çýkmak için harika bir gün.",Pozitif
Yeni projeyi tamamladýðým için çok mutluyum!,Pozitif
Arkadaþlarýmla güzel bir gün geçirdim.,Pozitif
Ürün beklediðimden çok daha iyi çýktý.,Pozitif
Bu uygulama gerçekten harika çalýþýyor.,Pozitif
Bugün kendimi çok iyi hissediyorum.,Pozitif
Bu kadar saçma bir hizmet görmedim.,Negatif
Müþteri hizmetleri hiç yardýmcý olmadý.,Negatif
Bu uygulama gerçekten çok kötü çalýþýyor.,Negatif
Hayatýmda gördüðüm en kötü deneyim.,Negatif
Bu ürün tamamen baþarýsýz olmuþ.,Negatif
Bu durumdan gerçekten nefret ediyorum.,Negatif
